priority,dataset,modality,cohort_or_samples,longitudinal,outcome_public,processed_access,malignant_state_fit,decision,main_limitation
1,GSE319641 NeoTRIP,bulk RNA-seq TNBC,251 patients with RNA; 401 samples; 150 complete pairs,baseline and D1C2,no,public 44 MB TPM matrix,high: all 4 states 100/100 top genes; P8 1848/2000 genes,analyse dynamics now; request clinical metadata,pCR and treatment arm require author request
2,GSE260693,bulk RNA-seq TNBC,67 patients; 73 samples,pre-treatment and surgical post-treatment,yes: residual tumour,public TPM and counts under 11 MB,high,analyse as independent response and longitudinal replication,small post-treatment subgroup and heterogeneous regimens
3,BioKey EGAS00001004809,single-cell RNA-seq breast cancer,40 treated patients; 226635 cells reported,paired pre/on anti-PD1,immune expansion rather than pCR,public per-patient counts on laboratory site; raw controlled,high after TNBC malignant-cell subset audit,audit downloadable files and TNBC paired malignant counts
4,HRA002137,single-cell RNA-seq TNBC HER2-low/negative,7 patients; 62578 cells,before during and after neoadjuvant therapy,response information to confirm,controlled access,high biologically,submit controlled-access request; too small for definitive validation
5,GSE25066,bulk microarray breast cancer,large discovery/validation cohorts,baseline before taxane-anthracycline NAC,yes: pCR/RD,public 59 MB series matrix,moderate-high after TNBC filtering,secondary independent clinical validation,legacy array and exact TNBC subset requires audit
6,GSE18864,bulk microarray TNBC,24 patients,baseline before cisplatin,yes: Miller-Payne response,public 6.4 MB matrix,moderate,regimen-specific sensitivity analysis,small old platform and cisplatin monotherapy
7,BrighTNess,bulk RNA-seq TNBC,634 randomized patients,baseline,yes: pCR,no open patient-level expression located,high,seek formal data access,access barrier
8,GeparNuevo HTG,HTG targeted transcriptomics TNBC,about 174 trial patients; public gene-level summaries,baseline and on-treatment,yes: pCR and survival,public summary workbook; patient-level trial data by application,moderate: 2549-gene panel,audit gene coverage and request patient-level data
9,GSE266919,single-cell RNA-seq advanced TNBC,44 patients; 78 biopsies,mixed timepoints/treatments,no suitable pCR endpoint,public processed immune-cell RDS only,low for malignant states,do not download for current aim,no malignant or epithelial processed object
10,GSE289825,targeted single-cell immune panel TNBC,2 patients,tumour series only in one non-responder,response label but n=2,small public files,low,reject for validation,immune-targeted panel and inadequate sample size
11,GSE296517,CosMx 1000-plex TNBC,5 samples from 2 trial patients plus one archival,spatial treatment series,no robust cohort outcome,processed files 1.1-3.3 GB; raw 175.6 GB,low-moderate,reject as formal validation; no download,too few patients and targeted panel
12,GSE325216,CosMx 960-gene metastatic breast cancer,10 samples from 4 patients; one TNBC,serial spatial,resistance trajectories only,public accession reported,low for TNBC validation,case-study evidence only,only one TNBC patient and targeted panel
13,EGAD50000002284,Visium HD TNBC,patient count to confirm,spatial,not established,controlled 60.6 GB BAM,potentially high gene coverage,defer pending access/sample audit,controlled very large dataset
