item,status,location_or_accession,planned_use,access_notes,checksum_or_version
HTAN HTAPP metastatic breast cancer fresh scRNA,h5ad_downloaded_analyzed_then_removed,data/raw/HTAN_HTAPP_MBC/fresh_samples_single_cell.h5ad;SCP2702;CELLxGENE a96133de-e951-4e2d-ace6-59db8b3bfb1d,independent metastatic state validation,"157531 cells; 85033 malignant; strict TNBC subset 5 donors and 16724 malignant cells; all state top-gene sets 100% covered; P8 91.9%; raw H5AD removed after validation",recorded in results/phase3c/htan_fresh_metadata_audit.json
HTAN HTAPP metastatic breast cancer frozen snRNA,h5ad_downloaded_analyzed_then_removed,data/raw/HTAN_HTAPP_MBC/frozen_samples_single_nucleus.h5ad;SCP2702;CELLxGENE a96133de-e951-4e2d-ace6-59db8b3bfb1d,independent cross-technology metastatic validation,"394534 cells; 201003 malignant; strict TNBC subset 11 donors and 68489 malignant cells; state coverage 99-100%; P8 90.3%",recorded in results/phase3c/htan_frozen_metadata_audit.json
I-SPY2-990,expression_downloaded_analyzed_compact_results_retained,GSE194040;GSE196093;GSE196096,orthogonal clinical validation,"986 matched expression profiles; 362 TNBC; 142 pCR and 220 residual; State_03 FDR 0.0225",recorded in results/phase3c/ispy2_tnbc_validation.json
SCP3851 metastatic Xenium,panel_coverage_audited,SCP3851,exploratory spatial context,"5001-gene panel; only 22-29 frozen top genes per state and 27.2% P8 weight; insufficient for formal validation",recorded in results/phase3c/scp3851_panel_coverage.json
Kim longitudinal TNBC,metadata_audited,SRP114962;PRJNA396019,primary dynamics,"~1386 GiB raw across 6633 runs; processed matrix/cell dictionary unresolved",NA
Yan ARTEMIS TNBC,h5ad_analyzed_then_removed,data/raw/ARTEMIS/e94bd3cc-6271-424a-baac-12f8eb320a0e.h5ad;PRJNA1041570,external pretreatment validation,"427823 cells; 49275 tumour cells; 101 donors; raw H5AD removed after validated outputs",d40a2b210ddf8fe0bd46118900412493c6d11d3429ffae4c311f7469f7d10da0
Wu breast atlas,h5ad_analyzed_compact_input_retained,data/raw/GSE176078/GSE176078_cellxgene.h5ad;GSE176078,state recurrence and spatial context,"100064 cells total; 42512 TNBC; 10836 malignant TNBC before balancing; 8 patients; 805MB H5AD retained because below 1GiB",ef9e792e3e25a811af7778e38913fe0758fb887284899b47bdd54c8af0e91281
Shiao TNBC serial immunotherapy,h5ad_analyzed_then_large_raws_removed,GSE246613;PRJNA1032700,regimen-shift falsification,"171746 nonimmune cells; 50185 cancer cells; response recovered; large H5AD/H5AD.GZ inputs removed after validated outputs",bc727229b3401d5c8f7704945354cd36c81d1da103e290cf747c6c26da660f9a
Zhang TNBC paclitaxel serial,barcode_manifest_created,GSE169246;PRJNA715775,immune-mechanism validation,"489490 CD45+ cells; 78 RNA samples; no malignant compartment; 12 paired tumour pre/post",c61d02185e54905a1f7ed658d69fd588db2526a9130951272240338c083a9141
HR+ NAC control,metadata_manifest_created,GSE205472;PRJNA845793,negative-control subtype,"13 samples; 5 complete pairs; 91235 barcodes; sample map incomplete",SOFT fetched 2026-09-06
Pal breast atlas,holdout_h5ad_analyzed_then_removed,data/raw/GSE161529/breast_epithelial_integrated_holdout.h5ad;GSE161529,reserved state validation,"Pal subset only: 36332 malignant epithelial cells before QC; 8 TNBC/BRCA1-TNBC patients; raw H5AD removed after validated outputs",aadf757b6e81e6e479c9c7d9577002ea5d435b019407cde874332ba4cb48675b
Karaayvaz TNBC,counts_downloaded_and_validated,data/raw/GSE118389/GSE118389_counts_rsem.txt.gz;GSE118389,cross-platform state construction,"1534 cells; 6 patients; RSEM expected counts",b47a85c4e0e6ebeb172a68435183e54c3367118c6dcd178810f1e7f199879474
